"CODI_ESTACIO","NOM_ESTACIO","CODI_TIPUS","LATITUD","LONGITUD","Georeferència","EMPLACAMENT","ALTITUD","CODI_MUNICIPI","NOM_MUNICIPI","CODI_COMARCA","NOM_COMARCA","CODI_PROVINCIA","NOM_PROVINCIA","CODI_XARXA","NOM_XARXA","CODI_ESTAT","NOM_ESTAT","DATA_ALTA","DATA_BAIXA"
"D8","Horta de Sant Joan","A","40,95134","0,30565","POINT (0.30565 40.95134)","Les Forques","515","430712","Horta de Sant Joan","37","Terra Alta","43","Tarragona","1","XEMA","2","Operativa","28/01/1998",
"VK","Raimat","A","41,68328","0,4487","POINT (0.4487 41.68328)","Finca Montserrat - Raimat","286","251207","Lleida","33","Segrià","25","Lleida","1","XEMA","2","Operativa","31/08/1988",
"CY","Muntanyola","A","41,87813","2,17873","POINT (2.17873 41.87813)","Esglèsia de St. Quirze i Sta. Julita","816","81290","Muntanyola","24","Osona","8","Barcelona","1","XEMA","2","Operativa","12/01/1996",
"YK","Terrassa","A","41,55361","1,99005","POINT (1.99005 41.55361)","Can Poal","313","82798","Terrassa","40","Vallès Occidental","8","Barcelona","1","XEMA","2","Operativa","20/12/2018",
"VX","Tagamanent - PN del Montseny","A","41,74761","2,30291","POINT (2.30291 41.74761)","Can Bellver - Serrat de Bellver. Parc Natural del Montseny","1,030","82763","Tagamanent","41","Vallès Oriental","8","Barcelona","1","XEMA","2","Operativa","04/01/1996",
"WL","Sant Martí de Riucorb","A","41,57236","1,0882","POINT (1.0882 41.57236)","Camí de les Comes, pol. 2, parc. 137","413","259025","Sant Martí de Riucorb","38","Urgell","25","Lleida","1","XEMA","2","Operativa","05/02/2002",
"W6","Riudoms","A","41,13738","1,0187","POINT (1.0187 41.13738)","Mas d'en Domènec","158","431299","Riudoms","8","Baix Camp","43","Tarragona","1","XEMA","1","Desmantellada","19/10/1999","06/02/2019"
"MQ","Cardona","A","41,92047","1,69584","POINT (1.69584 41.92047)","Boca nord del túnel de desviament del Cardener","401","80478","Cardona","7","Bages","8","Barcelona","1","XEMA","2","Operativa","16/01/2003",
"U4","Castellnou de Bages","A","41,83094","1,84699","POINT (1.84699 41.83094)","Masia Can Vilaseca","507","80620","Castellnou de Bages","7","Bages","8","Barcelona","1","XEMA","2","Operativa","22/01/1998",
"XH","Sort","A","42,40533","1,12993","POINT (1.12993 42.40533)","Escola de Piragüisme","679","252094","Sort","26","Pallars Sobirà","25","Lleida","1","XEMA","2","Operativa","31/07/2009",
"VB","Benissanet","A","41,06289","0,63517","POINT (0.63517 41.06289)","Grup Fruiter Benissanet, crta. de Mora, s/n","32","430265","Benissanet","30","Ribera d'Ebre","43","Tarragona","1","XEMA","2","Operativa","14/07/1993",
"D4","Roses","A","42,27068","3,18147","POINT (3.18147 42.27068)","Poliesportiu Municipal","23","171523","Roses","2","Alt Empordà","17","Girona","1","XEMA","2","Operativa","07/02/1996",
"UC","Monells","A","41,97726","2,99705","POINT (2.99705 41.97726)","Finca Camps i Armet - Escola Capacitació Agrària","60","179011","Cruïlles, Monells i Sant Sadurní de l'Heura","10","Baix Empordà","17","Girona","1","XEMA","1","Desmantellada","04/03/1998","15/06/2021"
"XW","Lleida - la Bordeta","A","41,59822","0,64855","POINT (0.64855 41.59822)","Torre de Vallverdú","165","251207","Lleida","33","Segrià","25","Lleida","1","XEMA","1","Desmantellada","24/07/2013","17/10/2018"
"VW","Caldes de Montbui - Torre Marimon","A","41,61235","2,17099","POINT (2.17099 41.61235)","Finca Torre Marimon","164.5","80333","Caldes de Montbui","41","Vallès Oriental","8","Barcelona","1","XEMA","1","Desmantellada","23/12/1990","08/03/2007"
"VV","Sant Llorenç Savall","A","41,68129","2,02647","POINT (2.02647 41.68129)","Masia Can Brossa","528","82233","Sant Llorenç Savall","40","Vallès Occidental","8","Barcelona","1","XEMA","2","Operativa","25/03/1998",
"CC","Orís","A","42,07398","2,20862","POINT (2.20862 42.07398)","Abocador comarcal","626","81509","Orís","24","Osona","8","Barcelona","1","XEMA","2","Operativa","15/11/1995",
"UD","Serra de Daró","A","42,02895","3,06227","POINT (3.06227 42.02895)","Camí de la Barceloneta - St. Iscle d'Empordà","12","171910","Serra de Daró","10","Baix Empordà","17","Girona","1","XEMA","1","Desmantellada","09/06/1999","01/06/2013"
"Y4","Alinyà","A","42,17426","1,42775","POINT (1.42775 42.17426)","Tossal de Salamó","1,162","259084","Fígols i Alinyà","4","Alt Urgell","25","Lleida","1","XEMA","2","Operativa","01/07/2014",
"YG","Tírvia","A","42,51881","1,24244","POINT (1.24244 42.51881)","Heliport de Tírvia","954","252213","Tírvia","26","Pallars Sobirà","25","Lleida","1","XEMA","2","Operativa","11/01/2018",
"YC","la Pobla de Segur","A","42,24388","0,96802","POINT (0.96802 42.24388)","Horta de les Feixes","508","251713","La Pobla de Segur","25","Pallars Jussà","25","Lleida","1","XEMA","2","Operativa","18/11/2016",
"R1","el Pont de Vilomara","A","41,70637","1,87276","POINT (1.87276 41.70637)","Planta de reciclatge de piles i fluorescents","210","81825","El Pont de Vilomara i Rocafort","7","Bages","8","Barcelona","1","XEMA","1","Desmantellada","02/03/2000","01/11/2019"
"DH","Badalona - Mas Ram","A","41,47638","2,25213","POINT (2.25213 41.47638)","Urb. Mas Ram - Escola Pere Vergès","126","80155","Badalona","13","Barcelonès","8","Barcelona","1","XEMA","1","Desmantellada","23/03/1998","08/09/2005"
"XU","Canyelles","A","41,28801","1,72195","POINT (1.72195 41.28801)","Cementiri","148","80431","Canyelles","17","Garraf","8","Barcelona","1","XEMA","2","Operativa","16/07/2013",
"UX","Ulldecona - els Valentins","A","40,62652","0,37112","POINT (0.37112 40.62652)","Comunitat de regants del Pou Valentins","210","431567","Ulldecona","22","Montsià","43","Tarragona","1","XEMA","2","Operativa","15/11/1990",
"YV","Mataró","A","41,54517","2,43322","POINT (2.43322 41.54517)","Parc de Rafael Alberti, Estació MeteoMar","87","81213","Mataró","21","Maresme","8","Barcelona","1","XEMA","2","Operativa","11/06/2025",
"Y9","Port de Barcelona - ZAL Prat (ca l'Arana)","A","41,31723","2,13091","POINT (2.13091 41.31723)","Port de Barcelona","4","81691","El Prat de Llobregat","11","Baix Llobregat","8","Barcelona","1","XEMA","1","Desmantellada","26/06/2015","30/11/2021"
"KE","Pantà de Sau","A","41,96867","2,41404","POINT (2.41404 41.96867)","Central hidroelèctrica de Sau","426","83036","Vilanova de Sau","24","Osona","8","Barcelona","1","XEMA","2","Operativa","05/01/1996",
"CJ","Organyà","A","42,21624","1,33132","POINT (1.33132 42.21624)","Càmping municipal","566.5","251556","Organyà","4","Alt Urgell","25","Lleida","1","XEMA","2","Operativa","16/01/1996",
"WG","Algerri","A","41,80104","0,64804","POINT (0.64804 41.80104)","Comunitat de regants d'Algerri, ctra. d'Albesa, s/n","301","250156","Algerri","23","Noguera","25","Lleida","1","XEMA","2","Operativa","13/12/2000",
"X5","PN dels Ports","A","40,79705","0,31822","POINT (0.31822 40.79705)","Montpublic 21 sector Cova Avellanes","1,055","431331","Roquetes","9","Baix Ebre","43","Tarragona","1","XEMA","2","Operativa","04/01/2007",
"WD","Batea - Granja de Pere el Sec","A","41,08671","0,31884","POINT (0.31884 41.08671)","Clos Cóssos","382","430228","Batea","37","Terra Alta","43","Tarragona","1","XEMA","1","Desmantellada","23/12/1999","31/07/2025"
"WU","Badalona - Museu","A","41,45215","2,24757","POINT (2.24757 41.45215)","Museu","42","80155","Badalona","13","Barcelonès","8","Barcelona","1","XEMA","2","Operativa","21/09/2005",
"CD","la Seu d'Urgell - Bellestar","A","42,37083","1,43277","POINT (1.43277 42.37083)","Abocador comarcal","849","252038","La Seu d'Urgell","4","Alt Urgell","25","Lleida","1","XEMA","2","Operativa","16/01/1996",
"U1","Cabanes - Mas de la Rajoleria","A","42,30648","2,95481","POINT (2.95481 42.30648)","Mas St. Feliu, S.A., camí de St. Feli, s/n","31","170307","Cabanes","2","Alt Empordà","17","Girona","1","XEMA","1","Desmantellada","11/06/1991","10/05/2024"
"CB","les Llosses","A","42,15085","2,19914","POINT (2.19914 42.15085)","Abocador comarcal","700","170963","Les Llosses","31","Ripollès","17","Girona","1","XEMA","1","Desmantellada","30/11/1995","02/06/2003"
"X9","Caldes de Montbui","A","41,61265","2,16836","POINT (2.16836 41.61265)","Torre Marimon","176","80333","Caldes de Montbui","41","Vallès Oriental","8","Barcelona","1","XEMA","2","Operativa","08/03/2007",
"W8","Blancafort","A","41,44237","1,15998","POINT (1.15998 41.44237)","Cooperativa vinícola, pl.del Sindicat","438","430290","Blancafort","16","Conca de Barberà","43","Tarragona","1","XEMA","2","Operativa","18/01/2000",
"XK","Puig Sesolles (1.668 m)","A","41,77362","2,43774","POINT (2.43774 41.77362)","Puig Sesolles (Massís del Montseny)","1,668","80811","Fogars de Montclús","41","Vallès Oriental","8","Barcelona","1","XEMA","2","Operativa","22/09/2010",
"D3","Vallirana","A","41,38197","1,93564","POINT (1.93564 41.38197)","C. Arquitecte Baldric","252","82956","Vallirana","11","Baix Llobregat","8","Barcelona","1","XEMA","2","Operativa","28/10/1995",
"XB","la Llacuna","A","41,4779","1,53529","POINT (1.53529 41.4779)","Cal Mateu","584","81043","La Llacuna","6","Anoia","8","Barcelona","1","XEMA","2","Operativa","19/03/2008",
"Z6","Sasseuva (2.228 m)","A","42,77011","0,73198","POINT (0.73198 42.77011)","Sasseuva","2,228","250313","Arres","39","Val d'Aran","25","Lleida","1","XEMA","2","Operativa","20/09/2001",
"X6","Baldomar","A","41,92173","1,02901","POINT (1.02901 41.92173)","Baldomar","366","250349","Artesa de Segre","23","Noguera","25","Lleida","1","XEMA","2","Operativa","24/10/2006",
"DJ","Banyoles","A","42,11653","2,78969","POINT (2.78969 42.11653)","Abocador comarcal de Puigpalter","176","170157","Banyoles","28","Pla de l'Estany","17","Girona","1","XEMA","2","Operativa","11/10/1999",
"CF","Lloret de Mar","A","41,72346","2,84282","POINT (2.84282 41.72346)","Abocador municipal","63.3","170950","Lloret de Mar","34","Selva","17","Girona","1","XEMA","1","Desmantellada","05/02/1996","16/06/2003"
"U7","Aldover","A","40,85936","0,50525","POINT (0.50525 40.85936)","Granges de Fabra","52","430069","Aldover","9","Baix Ebre","43","Tarragona","1","XEMA","2","Operativa","31/12/1994",
"WO","la Bisbal del Penedès","A","41,27151","1,46717","POINT (1.46717 41.27151)","Fondo de Cal Sumoi","185","430287","La Bisbal del Penedès","12","Baix Penedès","43","Tarragona","1","XEMA","2","Operativa","16/05/2002",
"CV","la Pobla de Segur - Bombers","A","42,23939","0,96434","POINT (0.96434 42.23939)","Parc de Bombers","513.3","251713","La Pobla de Segur","25","Pallars Jussà","25","Lleida","1","XEMA","1","Desmantellada","22/12/1995","18/11/2016"
"YL","Riudecanyes","A","41,1227","0,96951","POINT (0.96951 41.1227)","els Gorgs","170","431270","Riudecanyes","8","Baix Camp","43","Tarragona","1","XEMA","2","Operativa","06/02/2019",
"XE","Tarragona - Complex Educatiu","A","41,10393","1,201","POINT (1.201 41.10393)","Complex Educatiu","5","431482","Tarragona","36","Tarragonès","43","Tarragona","1","XEMA","2","Operativa","05/02/2009",
"Z9","Cadí Nord (2.143 m) - Prat d'Aguiló","A","42,29265","1,71498","POINT (1.71498 42.29265)","Cadí Nord - Prat d'Aguiló","2,143","251399","Montellà i Martinet","15","Cerdanya","25","Lleida","1","XEMA","2","Operativa","06/11/2003",
"U2","Sant Pere Pescador","A","42,17716","3,0968","POINT (3.0968 42.17716)","Mas Blanc, Mas Fages 17","4","171788","Sant Pere Pescador","2","Alt Empordà","17","Girona","1","XEMA","2","Operativa","01/05/1989",
"W3","Ventalló","A","42,15006","3,06494","POINT (3.06494 42.15006)","el Camp Lletget - Mare de Déu de l'Om - Montiró","4","172109","Ventalló","2","Alt Empordà","17","Girona","1","XEMA","1","Desmantellada","14/03/2000","12/01/2015"
"YM","Granollers","A","41,60922","2,29841","POINT (2.29841 41.60922)","Parc del Puig de les Tres Torres","210","80961","Granollers","41","Vallès Oriental","8","Barcelona","1","XEMA","2","Operativa","17/09/2019",
"WA","Oliola","A","41,87694","1,1541","POINT (1.1541 41.87694)","Partida l'Era","443","251500","Oliola","23","Noguera","25","Lleida","1","XEMA","2","Operativa","26/03/2001",
"UE","Torroella de Montgrí","A","42,02306","3,15719","POINT (3.15719 42.02306)","la Feixa Gata","4","171997","Torroella de Montgrí","10","Baix Empordà","17","Girona","1","XEMA","2","Operativa","09/06/1999",
"YA","Puigcerdà","A","42,44013","1,93482","POINT (1.93482 42.44013)","Poliesportiu municipal","1,213","171411","Puigcerdà","15","Cerdanya","17","Girona","1","XEMA","2","Operativa","22/03/2016",
"CU","Vielha","A","42,69856","0,79397","POINT (0.79397 42.69856)","Prat de Tixineret","1,002","252430","Vielha e Mijaran","39","Val d'Aran","25","Lleida","1","XEMA","1","Desmantellada","15/02/1996","01/06/2022"
"UJ","Santa Coloma de Queralt","A","41,52879","1,3683","POINT (1.3683 41.52879)","Partida la Cabana","709","431397","Santa Coloma de Queralt","16","Conca de Barberà","43","Tarragona","1","XEMA","2","Operativa","19/11/1996",
"XD","Ulldemolins","A","41,32","0,8857","POINT (0.8857 41.32)","Pigrossos","687","431573","Ulldemolins","29","Priorat","43","Tarragona","1","XEMA","2","Operativa","17/04/2008",
"VT","Cerdanyola del Vallès","A","41,48401","2,12745","POINT (2.12745 41.48401)","Parc Tecnològic del Vallès. Masia Can Fatjó del Molí","84","82665","Cerdanyola del Vallès","40","Vallès Occidental","8","Barcelona","1","XEMA","1","Desmantellada","15/05/1998","03/01/2014"
"WT","Malgrat de Mar","A","41,64707","2,75658","POINT (2.75658 41.64707)","Camí de la Pomereda","2","81108","Malgrat de Mar","21","Maresme","8","Barcelona","1","XEMA","2","Operativa","04/05/2005",
"X7","Torres de Segre","A","41,51909","0,55314","POINT (0.55314 41.51909)","Torres de Segre","215","252326","Torres de Segre","33","Segrià","25","Lleida","1","XEMA","2","Operativa","02/07/2007",
"V3","Gurb","A","41,95224","2,23271","POINT (2.23271 41.95224)","Masia Can Borra","509","81000","Gurb","24","Osona","8","Barcelona","1","XEMA","1","Desmantellada","31/03/1999","15/11/2022"
"UP","Cabrils","A","41,51773","2,37702","POINT (2.37702 41.51773)","IRTA Cabrils, crta. de Vilassar a Cabrils, s/n","81","80305","Cabrils","21","Maresme","8","Barcelona","1","XEMA","2","Operativa","27/11/1995",
"V8","el Poal","A","41,67279","0,87741","POINT (0.87741 41.67279)","Finca el Molinet, c. Afores, s/n","223","251689","El Poal","27","Pla d'Urgell","25","Lleida","1","XEMA","2","Operativa","14/09/1989",
"UY","Os de Balaguer - el Monestir d'Avellanes","A","41,87912","0,76103","POINT (0.76103 41.87912)","Quatre Vents - Monestir de les Avellanes","576","251569","Os de Balaguer","23","Noguera","25","Lleida","1","XEMA","2","Operativa","07/07/1995",
"UI","Gisclareny","A","42,26477","1,76218","POINT (1.76218 42.26477)","Coll de la Bena - Font del Cabrer","1,386","80930","Gisclareny","14","Berguedà","8","Barcelona","1","XEMA","2","Operativa","12/03/1999",
"XX","Anglesola - Tornabous","A","41,68835","1,04476","POINT (1.04476 41.68835)","Masia Mingot","291","250273","Anglesola","38","Urgell","25","Lleida","1","XEMA","2","Operativa","06/08/2013",
"WF","Vilablareix","A","41,95425","2,77578","POINT (2.77578 41.95425)","Mas Saüch","108","172155","Vilablareix","20","Gironès","17","Girona","1","XEMA","1","Desmantellada","11/04/2001","01/10/2015"
"WX","Camarasa","A","41,9178","0,88175","POINT (0.88175 41.9178)","Camarasa","668","250621","Camarasa","23","Noguera","25","Lleida","1","XEMA","2","Operativa","07/03/2006",
"UK","Sant Pere de Ribes - PN del Garraf","A","41,27861","1,80479","POINT (1.80479 41.27861)","Granja escola Can Pere","161","82310","Sant Pere de Ribes","17","Garraf","8","Barcelona","1","XEMA","2","Operativa","11/05/1999",
"XT","Solsona","A","41,98766","1,51165","POINT (1.51165 41.98766)","Magatzem Municipal","691","252075","Solsona","35","Solsonès","25","Lleida","1","XEMA","2","Operativa","12/07/2012",
"Z2","Boí (2.535 m)","A","42,46602","0,88405","POINT (0.88405 42.46602)","Vall de Boí","2,535","250432","La Vall de Boí","5","Alta Ribagorça","25","Lleida","1","XEMA","2","Operativa","13/11/1998",
"YS","Cabanes","A","42,32038","2,956401","POINT (2.956401 42.32038)","Futura deixalleria","32","170307","Cabanes","2","Alt Empordà","17","Girona","1","XEMA","2","Operativa","13/05/2024",
"VO","Lladurs","A","42,08745","1,42792","POINT (1.42792 42.08745)","Masia el Pla - Montpol","785","251240","Lladurs","35","Solsonès","25","Lleida","1","XEMA","2","Operativa","05/05/1998",
"UG","Viladecans","A","41,29928","2,03787","POINT (2.03787 41.29928)","Planters Gusi, ctra. antiga de València, km 14","3","83015","Viladecans","11","Baix Llobregat","8","Barcelona","1","XEMA","2","Operativa","29/04/1993",
"MV","Guixers - Valls","A","42,13598","1,67295","POINT (1.67295 42.13598)","Cal Teuler","845","251116","Guixers","35","Solsonès","25","Lleida","1","XEMA","2","Operativa","17/06/2015",
"AN","Barcelona - Av. Lluís Companys","A","41,39004","2,18091","POINT (2.18091 41.39004)","Av. Lluís Companys (Ciutadella)","7.5","80193","Barcelona","13","Barcelonès","8","Barcelona","1","XEMA","1","Desmantellada","11/05/1992","29/10/2002"
"DA","Vila-rodona - Escola","A","41,30839","1,3622","POINT (1.3622 41.30839)","Zona de les Escoles Noves","278","431704","Vila-rodona","1","Alt Camp","43","Tarragona","1","XEMA","1","Desmantellada","23/01/1998","28/07/2005"
"XL","el Prat de Llobregat","A","41,34045","2,08022","POINT (2.08022 41.34045)","Camí de la Ribera s/n","8","81691","El Prat de Llobregat","11","Baix Llobregat","8","Barcelona","1","XEMA","2","Operativa","22/03/2011",
"US","les Cases d'Alcanar","A","40,55786","0,52329","POINT (0.52329 40.55786)","El Mas d'en Serra - Barranc de St. Jaume","24","430043","Alcanar","22","Montsià","43","Tarragona","1","XEMA","2","Operativa","06/05/1991",
"WI","Maials","A","41,35741","0,4809","POINT (0.4809 41.35741)","Paratge d'Argelagar","350","251333","Maials","33","Segrià","25","Lleida","1","XEMA","2","Operativa","20/12/2000",
"UB","la Tallada d'Empordà","A","42,05398","3,06195","POINT (3.06195 42.05398)","Findació Mas Badia - Canet de la Tallada","15","171959","La Tallada d'Empordà","10","Baix Empordà","17","Girona","1","XEMA","2","Operativa","01/05/1989",
"YP","Palafrugell","A","41,90694","3,16073","POINT (3.16073 41.90694)","Horts urbans","35","171175","Palafrugell","10","Baix Empordà","17","Girona","1","XEMA","2","Operativa","02/12/2021",
"MS","Castellar de n'Hug - el Clot del Moro","A","42,25945","1,97609","POINT (1.97609 42.25945)","Aforament Castellar de n'Hug","943","80522","Castellar de n'Hug","14","Berguedà","8","Barcelona","1","XEMA","2","Operativa","26/01/2010",
"DG","Núria (1.971 m)","A","42,39848","2,15517","POINT (2.15517 42.39848)","Santuari de Núria","1,971.4","170433","Queralbs","31","Ripollès","17","Girona","1","XEMA","2","Operativa","15/05/1998",
"V5","Perafita","A","42,03947","2,11993","POINT (2.11993 42.03947)","Finca la Tria","774","81607","Perafita","43","Lluçanès","8","Barcelona","1","XEMA","2","Operativa","03/07/1995",
"D7","Vinebre","A","41,18499","0,59376","POINT (0.59376 41.18499)","Partida de Mallols","53","431779","Vinebre","30","Ribera d'Ebre","43","Tarragona","1","XEMA","2","Operativa","22/01/1998",
"VE","Aitona","A","41,48692","0,46058","POINT (0.46058 41.48692)","Camí del canal de Seròs","97","250387","Aitona","33","Segrià","25","Lleida","1","XEMA","1","Desmantellada","12/03/1998","12/04/2022"
"UT","Port de les Cases d'Alcanar","A","40,55219","0,53252","POINT (0.53252 40.55219)","Port de les Cases d'Alcanar","3","430043","Alcanar","22","Montsià","43","Tarragona","1","XEMA","1","Desmantellada","31/08/1993","11/11/2001"
"YE","Massoteres","A","41,79409","1,305756","POINT (1.305756 41.79409)","la Creu de Massoteres","513","251327","Massoteres","32","Segarra","25","Lleida","1","XEMA","2","Operativa","17/05/2017",
"UF","PN del Garraf - el Rascler","A","41,28832","1,90775","POINT (1.90775 41.28832)","El Rascler - Centre de Repetidors Aeroport. Parc Natural del Garraf","573","80207","Begues","11","Baix Llobregat","8","Barcelona","1","XEMA","2","Operativa","29/02/1996",
"YR","Vilanova i la Geltrú","A","41,23575","1,73148","POINT (1.73148 41.23575)","Circuit de ciclisme","31","83073","Vilanova i la Geltrú","17","Garraf","8","Barcelona","1","XEMA","2","Operativa","13/04/2023",
"Z4","Ulldeter (2.364 m)","A","42,42205","2,2524","POINT (2.2524 42.42205)","Ulldeter","2,364","171925","Setcases","31","Ripollès","17","Girona","1","XEMA","1","Desmantellada","08/11/2000","20/09/2011"
"Y7","Port de Barcelona - Bocana Sud","A","41,31725","2,16537","POINT (2.16537 41.31725)","Port de Barcelona","3","81691","El Prat de Llobregat","11","Baix Llobregat","8","Barcelona","1","XEMA","2","Operativa","08/04/2015",
